condition,n,height_prior_rmse,height_prior_bias,ground_plane_rmse,ground_plane_bias,fused_rmse,fused_bias
ClearNoon,1152,8.123283386411211,1.221845731248703,2.1584862831113525,1.0506888623486077,3.0430438234316624,0.48439417816422053
CloudyNoon,1164,8.172914170941299,1.2608239337163107,2.173098493398127,1.0765599469017673,3.0737346752291588,0.5385438605250891
WetNoon,1148,8.00907791634474,1.1563234784151133,2.2165917809445155,1.066300490464041,3.089690456805556,0.5091546009975627
ClearSunset,1152,7.573663538069383,0.8425472531068108,2.0037918697023125,1.0340663354001756,2.8313304446782412,0.43654674618905726
MidRainyNoon,1139,8.240302438128591,1.3428923641056363,2.1940648282228654,1.1833874537859173,3.069494768578417,0.6309721754670331
ClearNight,1131,6.896623922516595,0.4899342996867688,1.8680577421094082,1.06286628942566,2.698159895801925,0.3914783150376357
HardRainNoon,1149,7.607631608795648,1.1829123622704847,2.779702545314312,1.6352987492039708,3.3463540270716385,0.967680379060448
HardRainNight,1033,7.35554142441382,2.3204591810092885,3.967288026029661,2.640625344626459,3.9717918121409483,1.9775216853395978
